1973,The Holy Mountain,Alejandro Jodorowsky,NULL,NULL,0,NULL,0,NULL
1985,Rendez-vous,André Téchiné,"André Téchiné, Olivier Assayas","Juliette Binoche, Wadeck Stanczak",0,NULL,0,NULL
2020,Passage,Ann Oren,NULL,NULL,0,NULL,0,NULL
1984,Next of Kin,Atom Egoyan,Atom Egoyan,Arsinée Khanjian,0,NULL,0,NULL
1987,Family Viewing,Atom Egoyan,Atom Egoyan,"David Hemblen, Gabrielle Rose, Arsinée Khanjian",0,NULL,0,NULL
1989,Speaking Parts,Atom Egoyan,Atom Egoyan,"Michael McManus, Arsinée Khanjian",0,NULL,0,NULL
1992,The Adjuster,Atom Egoyan,Atom Egoyan,"Elias Koteas, Arsinée Khanjian, Maury Chaykin, Gabrielle Rose",0,NULL,0,NULL
1993,Calendar,Atom Egoyan,Atom Egoyan,"Arsinée Khanjian, Atom Egoyan",0,NULL,0,NULL
1994,Exotica,Atom Egoyan,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Arsinée Khanjian",0,NULL,0,NULL
2002,Ararat,Atom Egoyan,Atom Egoyan,"Arsinée Khanjian, David Alpay",0,NULL,0,NULL
1971,Wanda,Barbara Loden,NULL,NULL,0,NULL,0,NULL
2018,Long Day’s Journey into Night,Bi Gan [毕赣],NULL,NULL,0,地球最後的夜晚,0,NULL
2001,Fat Girl,Catherine Breillat,Catherine Breillat,"Anaïs Reboux, Arsinée Khanjian",0,À ma soeur!,0,NULL
2010,White Material,Claire Denis,"Claire Denis, Marie N’Diaye",Isabelle Huppert,0,NULL,0,NULL
2007,Water Lilies,Céline Sciamma,NULL,NULL,0,NULL,0,NULL
1985,Taipei Story,Edward Yang [楊德昌],NULL,NULL,0,青梅竹馬,0,NULL
1971,A New Leaf,Elaine May,NULL,NULL,0,NULL,0,NULL
1976,Mikey and Nicky,Elaine May,NULL,NULL,0,NULL,0,NULL
1951,"Presentation, or Charlotte and Her Steak",Éric Rohmer,NULL,"Jean-Luc Godard, Stéphane Audran, Anna Karina",0,Présentation ou Charlotte et son steak,1,NULL
1966,A Modern Coed,Éric Rohmer,NULL,NULL,0,NULL,1,NULL
