1977,Love Is a Dog from Hell,NULL,Charles Bukowski,NULL,NULL
1945,Otogizoshi,御伽草子,Dazai Osamu [太宰 治],NULL,NULL
1947,The Setting Sun,斜陽,Dazai Osamu [太宰 治],NULL,NULL
2017,Le Bureau des jardins et des étangs,NULL,Didier Decoin,NULL,NULL
1943,The First Brazier,第一爐香,Eileen Chang [張愛玲],NULL,NULL
1994,Mutual Reflections,對照記,Eileen Chang [張愛玲],NULL,NULL
1987,Norwegian Wood,ノルウェイの森,Haruki Murakami [村上 春樹],NULL,NULL
1997,Portrait in Jazz,NULL,Haruki Murakami [村上 春樹],NULL,NULL
2005,Five Strange Tales from Tokyo,東京奇譚集,Haruki Murakami [村上 春樹],NULL,NULL
2017,Killing Commendatore,騎士団長殺し,Haruki Murakami [村上 春樹],NULL,NULL
2018,A Tokyo Romance: A Memoir,NULL,Ian Buruma,NULL,NULL
2010,When Marina Abramović Dies: A Biography,NULL,James Westcott,NULL,NULL
1787,The Sorrows of Young Werther,NULL,Johann Wolfgang von Goethe,NULL,NULL
1924,The Dancing Girl of Izu,伊豆の踊子,Kawabata Yasunari [川端 康成],NULL,NULL
1982,A Pale View of Hills,NULL,Kazuo Ishiguro,NULL,NULL
1986,An Artist of the Floating World,NULL,Kazuo Ishiguro,NULL,NULL
1977,Paper Cut-outs,剪紙,Leung Ping-kwan [也斯],NULL,NULL
1960,Dix heures et demie du soir en été,NULL,Marguerite Duras,NULL,NULL
1984,L’Amant,NULL,Marguerite Duras,NULL,NULL
1986,Les Yeux bleus Cheveux noirs,NULL,Marguerite Duras,NULL,NULL
1953,Les Amours interdites,禁色,Mishima Yukio [三島 由紀夫],NULL,NULL
1957,Misstepping of Virtue,美徳のよろめき,Mishima Yukio [三島 由紀夫],NULL,NULL
1968,Sun and Steel,太陽と鉄,Mishima Yukio [三島 由紀夫],NULL,NULL
1970,The Temple of Dawn,暁の寺,Mishima Yukio [三島 由紀夫],NULL,NULL
1926,Nobuko,伸子,Miyamoto Yuriko,NULL,NULL
1963,Zeitaku Binbō,贅沢貧乏,Mori Mari [森 茉莉],NULL,NULL
1968,Watashi no Bi no Sekai,私の美の世界,Mori Mari [森 茉莉],NULL,NULL
1890,The Dancing Girl,舞姫,Mori Ogai [森 鴎外],NULL,NULL
1976,Almost Transparent Blue,限りなく透明に近いブルー,Murakami Ryū [村上 龍],NULL,NULL
1902,Jigoku no Hana,地獄の花,Nagai Kafū [永井 荷風],NULL,NULL
1907,Gubijinsō,虞美人草,Natsume Sōseki [夏目 漱石],NULL,NULL
1908,Sanshirō,三四郎,Natsume Sōseki [夏目 漱石],NULL,NULL
1914,Kokoro,こころ,Natsume Sōseki [夏目 漱石],NULL,NULL
1898,Konjiki Yasha,金色夜叉,Ozaki Kōyō [尾崎 紅葉],NULL,NULL
2010,Dandyism and Transcultural Modernity,浪蕩子美學與跨文化現代性：一九三〇年代上海、東京及巴黎的浪蕩子、漫遊者與譯者,Peng Hsiao-yen [彭小妍],NULL,NULL
1970,L’Empire des signes,NULL,Roland Barthes,NULL,NULL
1977,Fragments d’un discours amoureux,NULL,Roland Barthes,NULL,NULL
1941,The Chieko Poems,智恵子抄,Takamura Kōtarō [高村 光太郎],NULL,NULL
1925,Naomi,痴人の愛,Tanizaki Jun’ichirō [谷崎 潤一郎],NULL,NULL
1972,Akan ni Hatsu,阿寒に果つ,Watanabe Junichi [渡辺 淳一],NULL,NULL
